,Roll_Num,Uni_ID,Student Name,Subject,Percentage
0,10123417,20012007,AAA AAA7,CSP2210,70.49
1,10123418,20012008,AAA AAA8,AMP1201,73.33
2,10123420,20012010,AAA AAA10,CSP2210,73.77
3,10123424,20012014,AAA AAA14,AMP1201,66.67
4,10123432,20012022,AAA AAA22,AMP1201,73.33
5,10123434,20012024,AAA AAA24,AMP1201,73.33
6,10123436,20012026,AAA AAA26,CSP2210,74.59
7,10123440,20012030,AAA AAA30,CSP2210,72.13
8,10123441,20012031,AAA AAA31,AMP1201,73.33
9,10123442,20012032,AAA AAA32,AMP1201,73.33
10,10123446,20012036,AAA AAA36,CSP2210,74.58
11,10123449,20012039,AAA AAA39,CSP2210,72.88
12,10123451,20012041,AAA AAA41,AMP1201,66.67
13,10123455,20012045,AAA AAA45,CSP2210,74.58
14,10123464,20012054,AAA AAA54,AMP1201,60
15,10123486,20012076,AAA AAA76,AMP1201,62.07
16,10123491,20012081,AAA AAA81,AMP1201,27.59
17,10123495,20012085,AAA AAA85,AMP1201,58.62
18,10123497,20012087,AAA AAA87,AMP1201,55.17
19,10123510,20012100,AAA AAA100,AMP1201,68.97
20,10123513,20012103,AAA AAA103,AMP1201,0
21,10123519,20012109,AAA AAA109,AMP1201,0
22,10123526,20012116,AAA AAA116,CSP2210,72.13
23,10123527,20012117,AAA AAA117,AMP1201,66.67
24,10123536,20012126,AAA AAA126,AMP1201,20
25,10123541,20012131,AAA AAA131,CSP2210,8.33
26,10123547,20012137,AAA AAA137,CSP2210,49.18
27,10123548,20012138,AAA AAA138,AMP1201,73.33
28,10123550,20012140,AAA AAA140,CSP2210,0
29,10123551,20012141,AAA AAA141,AMP1201,73.33
30,10123552,20012142,AAA AAA142,AMP1201,33.33
31,10123553,20012143,AAA AAA143,CSP2210,70.49
32,10123554,20012144,AAA AAA144,CSP2210,0
33,10123555,20012145,AAA AAA145,AMP1201,60
34,10123556,20012146,AAA AAA146,AMP1201,73.33
35,10123558,20012148,AAA AAA148,AMP1201,66.67
36,10123559,20012149,AAA AAA149,CSP2210,8.33
37,10123560,20012150,AAA AAA150,AMP1201,73.33
38,10123564,20012154,AAA AAA154,CSP2210,0
39,10123565,20012155,AAA AAA155,CSP2210,0
40,10123567,20012157,AAA AAA157,AMP1201,40
41,10123572,20012162,AAA AAA162,AMP1201,60
42,10123575,20012165,AAA AAA165,AMP1201,73.33
43,10123576,20012166,AAA AAA166,CSP2210,0
44,10123578,20012168,AAA AAA168,CSP2210,0
45,10123589,20012179,AAA AAA179,AMP1201,66.67
46,10123597,20012187,AAA AAA187,AMP1201,73.33
47,10123599,20012189,AAA AAA189,CSP2210,0
48,10123600,20012190,AAA AAA190,CSP2210,68.85
49,10123603,20012193,AAA AAA193,CSP2210,73.77
50,10123608,20012198,AAA AAA198,CSP2210,41.67
51,10123620,20012210,AAA AAA210,AMP1201,73.33
52,10123626,20012216,AAA AAA216,AMP1201,66.67
53,10123628,20012218,AAA AAA218,CSP2210,72.88
54,10123633,20012223,AAA AAA223,CSP2210,74.58
55,10123638,20012228,AAA AAA228,CSP2210,74.58
56,10123642,20012232,AAA AAA232,CSP2210,67.8
57,10123654,20012244,AAA AAA244,AMP1201,73.33
58,10123663,20012253,AAA AAA253,AMP1201,73.33
59,10123666,20012256,AAA AAA256,AMP1201,73.33
60,10123668,20012258,AAA AAA258,CSP2210,74.58
61,10123671,20012261,AAA AAA261,AMP1201,73.33
62,10123672,20012262,AAA AAA262,CSP2210,72.88
63,10123678,20012268,AAA AAA268,CSP2210,62.71
64,10123682,20012272,AAA AAA272,CSP2210,71.19
65,10123686,20012276,AAA AAA276,AMP1201,60
66,10123688,20012278,AAA AAA278,AMP1201,60
