,Roll_Num,Uni_ID,Student Name,Subject,Percentage
0,10123413,20012003,AAA AAA3,AML3201,71.11
1,10123417,20012007,AAA AAA7,AML3201,73.33
2,10123418,20012008,AAA AAA8,CSL2301,73.33
3,10123421,20012011,AAA AAA11,CSL4207,73.68
4,10123424,20012014,AAA AAA14,CSL2301,73.33
5,10123430,20012020,AAA AAA20,CSP2301,74.07
6,10123432,20012022,AAA AAA22,AML3201,71.11
7,10123434,20012024,AAA AAA24,CSL4207,71.93
8,10123439,20012029,AAA AAA29,CSL2301,73.33
9,10123440,20012030,AAA AAA30,CSL4208,72.41
10,10123441,20012031,AAA AAA31,AML3201,71.11
11,10123442,20012032,AAA AAA32,CSL4208,72.41
12,10123446,20012036,AAA AAA36,CSL4207,74.55
13,10123451,20012041,AAA AAA41,AML3201,48.89
14,10123455,20012045,AAA AAA45,CSL4207,74.55
15,10123464,20012054,AAA AAA54,AML3201,46.67
16,10123465,20012055,AAA AAA55,CSL4336,74.42
17,10123473,20012063,AAA AAA63,CSL5210,68.75
18,10123477,20012067,AAA AAA67,GEW1607,25
19,10123479,20012069,AAA AAA69,CSL2301,57.14
20,10123482,20012072,AAA AAA72,CSL4207,73.77
21,10123486,20012076,AAA AAA76,AML3201,59.09
22,10123488,20012078,AAA AAA78,AML3201,63.64
23,10123491,20012081,AAA AAA81,AML3201,34.09
24,10123492,20012082,AAA AAA82,AML3201,72.73
25,10123494,20012084,AAA AAA84,AML3201,72.73
26,10123495,20012085,AAA AAA85,AML3201,61.36
27,10123497,20012087,AAA AAA87,AML3201,61.36
28,10123503,20012093,AAA AAA93,AML3201,68.18
29,10123507,20012097,AAA AAA97,AML3201,70.45
30,10123509,20012099,AAA AAA99,CSL4208,73.77
31,10123510,20012100,AAA AAA100,CSL4207,72.13
32,10123511,20012101,AAA AAA101,CSL4208,64.91
33,10123512,20012102,AAA AAA102,CSL4208,70
34,10123513,20012103,AAA AAA103,AML3201,0
35,10123519,20012109,AAA AAA109,AML3201,0
36,10123526,20012116,AAA AAA116,CSL4207,68.85
37,10123527,20012117,AAA AAA117,AML3201,72.73
38,10123536,20012126,AAA AAA126,AML3201,18.18
39,10123541,20012131,AAA AAA131,CSL2301,66.67
40,10123545,20012135,AAA AAA135,CSL4208,73.77
41,10123547,20012137,AAA AAA137,AML3201,52.27
42,10123548,20012138,AAA AAA138,CSL2301,73.33
43,10123550,20012140,AAA AAA140,CSL2301,64.1
44,10123551,20012141,AAA AAA141,AML3201,54.55
45,10123552,20012142,AAA AAA142,AML3201,29.55
46,10123553,20012143,AAA AAA143,CSL4208,68.85
47,10123554,20012144,AAA AAA144,CSL2301,66.67
48,10123555,20012145,AAA AAA145,AML3201,50
49,10123556,20012146,AAA AAA146,CSL2301,73.33
50,10123558,20012148,AAA AAA148,AML3201,65.91
51,10123559,20012149,AAA AAA149,CSL2301,69.23
52,10123560,20012150,AAA AAA150,AML3201,65.91
